SAMPID	SMTS
GTEX-13OVI-1326-SM-5IJBO	Adipose Tissue
GTEX-13OVI-1426-SM-5L3EY	Skin
GTEX-13OVI-1526-SM-5K7VX	Nerve
GTEX-13OVI-1726-SM-5L3DW	Muscle
GTEX-13OVI-1826-SM-5IFFT	Stomach
GTEX-13OVI-1926-SM-5IJCG	Small Intestine
GTEX-13OVI-2026-SM-5J1MU	Colon
GTEX-13OVI-2126-SM-5KM3U	Colon
GTEX-13OVI-2326-SM-5KM47	Salivary Gland
GTEX-13OVI-2426-SM-5KM4J	Stomach
GTEX-13OVI-2526-SM-5KM4V	Esophagus
GTEX-13OVI-2626-SM-5KM4T	Esophagus
GTEX-13OVI-2726-SM-5KM56	Skin
GTEX-13OVJ-0001-SM-5GYAL	Blood
GTEX-13OVJ-0001-SM-5HJR8	Blood
GTEX-13OVJ-0001-SM-6WSAU	Blood
GTEX-13OVJ-0006-SM-5O98T	Blood
GTEX-13OVJ-0011-R10b-SM-5L3HT	Brain
GTEX-13OVJ-0011-R11a-SM-5P9H8	Brain
GTEX-13OVJ-0011-R1b-SM-5L3I6	Brain
GTEX-13OVJ-0011-R2b-SM-5L3GP	Brain
GTEX-13OVJ-0011-R3b-SM-5P9H6	Brain
GTEX-13OVJ-0011-R4b-SM-5P9H5	Brain
GTEX-13OVJ-0011-R5a-SM-5P9H7	Brain
GTEX-13OVJ-0011-R6b-SM-5L3GH	Brain
GTEX-13OVJ-0011-R7a-SM-5L3G1	Brain
GTEX-13OVJ-0011-R8b-SM-5L3FS	Brain
GTEX-13OVJ-0011-R9b-SM-5L3GD	Brain
GTEX-13OVJ-0126-SM-5KM36	Skin
GTEX-13OVJ-0226-SM-5L3GK	Muscle
GTEX-13OVJ-0326-SM-5L3GL	Adipose Tissue
GTEX-13OVJ-0426-SM-5L3GX	Nerve
GTEX-13OVJ-0626-SM-5J2O2	Thyroid
GTEX-13OVJ-0726-SM-5KM1W	Lung
GTEX-13OVJ-0826-SM-5J1OK	Skin
GTEX-13OVJ-0926-SM-5K7U1	Adipose Tissue
GTEX-13OVJ-1026-SM-5IFGI	Liver
GTEX-13OVJ-1226-SM-5L3HA	Esophagus
GTEX-13OVJ-1326-SM-5K7Z9	Esophagus
GTEX-13OVJ-1426-SM-5K7Z2	Esophagus
GTEX-13OVJ-1726-SM-5IJDZ	Colon
GTEX-13OVJ-1826-SM-5KM2D	Colon
GTEX-13OVJ-2326-SM-5IJGA	Uterus
GTEX-13OVJ-2426-SM-5KM3I	Ovary
GTEX-13OVJ-2626-SM-5IJFT	Pituitary
GTEX-13OVJ-2726-SM-5IJG6	Brain
GTEX-13OVJ-2826-SM-5L3GW	Brain
GTEX-13OVK-0001-SM-5GYAH	Blood
GTEX-13OVK-0001-SM-5HJQJ	Blood
GTEX-13OVK-0001-SM-6WSCS	Blood
GTEX-13OVK-0006-SM-5O9B7	Blood
GTEX-13OVK-0226-SM-6M472	Thyroid
GTEX-13OVK-0326-SM-7KUEJ	Adipose Tissue
GTEX-13OVK-0426-SM-7KFT8	Spleen
GTEX-13OVK-0826-SM-7KULZ	Colon
GTEX-13OVK-0926-SM-7KUFX	Stomach
GTEX-13OVK-1026-SM-7KFTC	Colon
GTEX-13OVK-1126-SM-6PAMR	Esophagus
GTEX-13OVK-1226-SM-6M473	Esophagus
GTEX-13OVK-1426-SM-6PAN7	Skin
GTEX-13OVK-1726-SM-7KUE9	Blood Vessel
GTEX-13OVK-1826-SM-6PALE	Salivary Gland
GTEX-13OVK-1926-SM-6M48G	Muscle
GTEX-13OVK-2026-SM-7KUEO	Skin
GTEX-13OVK-2126-SM-6PAN1	Adipose Tissue
GTEX-13OVK-2226-SM-6LPJY	Testis
GTEX-13OVL-0003-SM-5CV8H	Blood
GTEX-13OVL-0003-SM-5HJRX	Blood
GTEX-13OVL-0003-SM-6WSD4	Blood
GTEX-13OVL-0006-SM-5O996	Blood
GTEX-13OVL-0011-R10a-SM-5L3GS	Brain
GTEX-13OVL-0011-R11b-SM-5L3G7	Brain
GTEX-13OVL-0011-R1a-SM-5L3H5	Brain
GTEX-13OVL-0011-R3b-SM-5L3I8	Brain
GTEX-13OVL-0011-R4b-SM-5L3HV	Brain
GTEX-13OVL-0011-R5b-SM-5L3FU	Brain
GTEX-13OVL-0011-R6a-SM-5L3G4	Brain
GTEX-13OVL-0011-R7a-SM-5P9GW	Brain
GTEX-13OVL-0011-R8a-SM-5L3HH	Brain
GTEX-13OVL-0011-R9a-SM-5P9GX	Brain
GTEX-13OVL-0126-SM-5L3GJ	Skin
GTEX-13OVL-0226-SM-5L3E9	Skin
GTEX-13OVL-0326-SM-5IJCS	Adipose Tissue
GTEX-13OVL-0426-SM-5IFG6	Testis
GTEX-13OVL-0526-SM-5KLZQ	Heart
GTEX-13OVL-0626-SM-5KM13	Lung
GTEX-13OVL-0826-SM-5L3GV	Adipose Tissue
GTEX-13OVL-1326-SM-5IJCZ	Blood Vessel
GTEX-13OVL-1426-SM-5IJC1	Muscle
GTEX-13OVL-1526-SM-5K7WA	Nerve
GTEX-13OVL-1826-SM-5KLZR	Kidney
GTEX-13OVL-1926-SM-5KM14	Esophagus
GTEX-13OVL-2726-SM-5J2MP	Esophagus
GTEX-13OVL-2926-SM-5IFG3	Salivary Gland
GTEX-13OVL-3026-SM-5IJF1	Brain
GTEX-13OVL-3226-SM-5L3H8	Pituitary
GTEX-13OW5-0003-SM-5GYAG	Blood
GTEX-13OW5-0003-SM-5HJQ7	Blood
GTEX-13OW5-0003-SM-6WSCR	Blood
GTEX-13OW5-0011-R11b-SM-5L3GG	Brain
GTEX-13OW5-0011-R1b-SM-5L3GE	Brain
GTEX-13OW5-0011-R3a-SM-5L3I5	Brain
GTEX-13OW5-0011-R4b-SM-5L3HS	Brain
GTEX-13OW5-0011-R5b-SM-5L3FR	Brain
GTEX-13OW5-0011-R6b-SM-5O9BW	Brain
GTEX-13OW5-0011-R7a-SM-5O9C9	Brain
GTEX-13OW5-0011-R8a-SM-5L3GQ	Brain
GTEX-13OW5-0011-R9b-SM-5O9CL	Brain
GTEX-13OW5-0126-SM-5MR3A	Skin
GTEX-13OW5-0326-SM-5L3HK	Muscle
GTEX-13OW5-0626-SM-5J2N2	Thyroid
GTEX-13OW5-0726-SM-5KLZK	Lung
GTEX-13OW5-0826-SM-5J1NE	Blood Vessel
GTEX-13OW5-0926-SM-5L3GZ	Heart
GTEX-13OW5-1126-SM-5J1NR	Heart
GTEX-13OW5-2226-SM-5L3HC	Breast
GTEX-13OW5-2326-SM-5L3HO	Skin
GTEX-13OW5-2526-SM-5L3I1	Testis
GTEX-13OW5-2626-SM-5MR3M	Colon
GTEX-13OW5-2826-SM-5KM1G	Colon
GTEX-13OW5-2926-SM-5IJF2	Pituitary
GTEX-13OW5-3126-SM-5MR3Y	Brain
GTEX-13OW6-0002-SM-5GYAF	Blood
GTEX-13OW6-0002-SM-5HJPU	Blood
GTEX-13OW6-0002-SM-6WSAM	Blood
GTEX-13OW6-0005-SM-5NQ9Z	Blood
GTEX-13OW6-0011-R10a-SM-5L3HE	Brain
GTEX-13OW6-0011-R11a-SM-5L3H2	Brain
GTEX-13OW6-0011-R1a-SM-5L3HQ	Brain
GTEX-13OW6-0011-R2a-SM-5L3HG	Brain
GTEX-13OW6-0011-R4a-SM-5O9DX	Brain
GTEX-13OW6-0011-R5a-SM-5O9BK	Brain
GTEX-13OW6-0011-R6b-SM-5L3GR	Brain
GTEX-13OW6-0011-R7b-SM-5L3H4	Brain
GTEX-13OW6-0011-R8a-SM-5L3GF	Brain
GTEX-13OW6-0126-SM-5IJGM	Testis
GTEX-13OW6-0226-SM-5J1NB	Nerve
GTEX-13OW6-0326-SM-5L3H9	Blood Vessel
GTEX-13OW6-0426-SM-5L3HM	Skin
GTEX-13OW6-0526-SM-5L3HY	Adipose Tissue
GTEX-13OW6-0626-SM-5L3IB	Muscle
GTEX-13OW6-0726-SM-5L3FX	Thyroid
GTEX-13OW6-0826-SM-5L3GA	Lung
GTEX-13OW6-0926-SM-5L3GM	Heart
GTEX-13OW6-1126-SM-5L3HL	Heart
GTEX-13OW6-1426-SM-5L3EU	Esophagus
GTEX-13OW6-1526-SM-5L3HX	Blood Vessel
GTEX-13OW6-1626-SM-5IJD5	Esophagus
GTEX-13OW6-1726-SM-5IJGI	Adrenal Gland
GTEX-13OW6-1826-SM-5N9F9	Kidney
GTEX-13OW6-2126-SM-5N9GL	Colon
GTEX-13OW6-2226-SM-5N9FL	Colon
GTEX-13OW6-2426-SM-5K7WO	Adipose Tissue
GTEX-13OW6-2526-SM-5IJEC	Stomach
GTEX-13OW6-2626-SM-5IFF2	Liver
GTEX-13OW6-2726-SM-5J2OE	Skin
GTEX-13OW6-2926-SM-5KM29	Brain
GTEX-13OW6-3026-SM-5J2MI	Brain
GTEX-13OW6-3126-SM-5L3IA	Pituitary
GTEX-13OW7-0001-SM-5GYA6	Blood
GTEX-13OW7-0001-SM-5HJRV	Blood
GTEX-13OW7-0001-SM-6WSD2	Blood
GTEX-13OW7-0011-R10a-SM-5L3H3	Brain
GTEX-13OW7-0011-R11a-SM-5O9DY	Brain
GTEX-13OW7-0011-R1b-SM-5L3HF	Brain
GTEX-13OW7-0011-R3a-SM-5O9DA	Brain
GTEX-13OW7-0011-R4b-SM-5O9CX	Brain
GTEX-13OW7-0011-R5b-SM-5O9DM	Brain
GTEX-13OW7-0011-R8b-SM-5L3HR	Brain
GTEX-13OW7-0126-SM-5MR3B	Skin
GTEX-13OW7-0226-SM-5MR3N	Adipose Tissue
GTEX-13OW7-0326-SM-5J1MP	Muscle
GTEX-13OW7-0426-SM-5K7VK	Skin
GTEX-13OW7-0526-SM-5J1N2	Nerve
GTEX-13OW7-0626-SM-5K7UD	Blood Vessel
GTEX-13OW7-0826-SM-5L3EL	Thyroid
GTEX-13OW7-0926-SM-5L3EX	Lung
GTEX-13OW7-1126-SM-5K7V6	Adipose Tissue
GTEX-13OW7-1626-SM-5IJDH	Heart
GTEX-13OW7-1926-SM-5LUB4	Esophagus
GTEX-13OW7-2726-SM-5L3HN	Adrenal Gland
GTEX-13OW7-2926-SM-5MR3Z	Brain
GTEX-13OW7-3026-SM-5L3GY	Brain
GTEX-13OW7-3126-SM-5L3HB	Pituitary
GTEX-13OW8-0002-SM-5CV8J	Blood
GTEX-13OW8-0002-SM-5HJQX_1	Blood
GTEX-13OW8-0002-SM-6WSAW	Blood
GTEX-13OW8-0005-SM-5NQAC	Blood
GTEX-13OW8-0011-R10a-SM-5L3H6	Brain
GTEX-13OW8-0011-R11a-SM-5L3GT	Brain
GTEX-13OW8-0011-R1a-SM-5L3HI	Brain
GTEX-13OW8-0011-R2a-SM-5L3G2	Brain
GTEX-13OW8-0011-R3a-SM-5L3I4	Brain
GTEX-13OW8-0011-R5b-SM-5L3FQ	Brain
GTEX-13OW8-0011-R6b-SM-5L3I3	Brain
GTEX-13OW8-0011-R7a-SM-5L3FP	Brain
GTEX-13OW8-0011-R8a-SM-5L3G5	Brain
GTEX-13OW8-0126-SM-5IJE5	Thyroid
GTEX-13OW8-0226-SM-5K7UP	Breast
GTEX-13OW8-0326-SM-5L3FB	Adipose Tissue
GTEX-13OW8-0426-SM-5J2NR	Prostate
GTEX-13OW8-0526-SM-5KM24	Testis
GTEX-13OW8-1026-SM-5J1NQ	Skin
GTEX-13OW8-1226-SM-5K7XD	Adipose Tissue
GTEX-13OW8-1326-SM-5J1OW	Skin
GTEX-13OW8-1426-SM-5IJDT	Muscle
GTEX-13OW8-1526-SM-5K7V2	Nerve
GTEX-13OW8-1626-SM-5L3HW	Blood Vessel
GTEX-13OW8-1726-SM-5L3GO	Lung
GTEX-13OW8-1826-SM-5L3H1	Blood Vessel
GTEX-13OW8-2126-SM-5J1OS	Heart
GTEX-13OW8-2226-SM-5K7Z4	Esophagus
GTEX-13OW8-2326-SM-5L3I9	Esophagus
GTEX-13OW8-2426-SM-5L3ID	Esophagus
GTEX-13OW8-2726-SM-5L3FZ	Colon
GTEX-13OW8-2826-SM-5L3GC	Brain
GTEX-13OW8-2926-SM-5L3FV	Brain
GTEX-13OW8-3026-SM-5L3G8	Pituitary
GTEX-13PDP-0011-R1a-SM-5PNX5	Brain
GTEX-13PDP-0011-R2b-SM-5O9DH	Brain
GTEX-13PDP-0011-R6b-SM-5O9D5	Brain
GTEX-13PDP-0011-R8b-SM-5O9CS	Brain
GTEX-13PDP-0126-SM-5L3HD	Skin
GTEX-13PDP-0226-SM-5K7W9	Adipose Tissue
GTEX-13PDP-0326-SM-5K7XP	Muscle
GTEX-13PDP-0726-SM-5L3HP	Skin
GTEX-13PDP-1026-SM-5L3FA	Thyroid
GTEX-13PDP-1226-SM-5K7TW	Adipose Tissue
GTEX-13PDP-1326-SM-5K7U9	Heart
GTEX-13PDP-2926-SM-5N9E8	Brain
GTEX-13PL6-0002-SM-5GYAR	Blood
GTEX-13PL6-0002-SM-5HJPV	Blood
GTEX-13PL6-0002-SM-6WSCU	Blood
GTEX-13PL6-0011-R5b-SM-5O9BI	Brain
GTEX-13PL6-0011-R6a-SM-5O9C5	Brain
GTEX-13PL6-0011-R9b-SM-5O9CH	Brain
GTEX-13PL6-0326-SM-5IJCP	Muscle
GTEX-13PL6-0526-SM-5L3G6	Blood Vessel
GTEX-13PL6-0826-SM-5IJBI	Heart
GTEX-13PL6-0926-SM-5KLYY	Adipose Tissue
GTEX-13PL6-1026-SM-5L3E5	Thyroid
GTEX-13PL6-1126-SM-5L3IE	Skin
GTEX-13PL6-2926-SM-5L3I2	Breast
GTEX-13PL6-3126-SM-5LUAR	Brain
GTEX-13PL7-0003-SM-5GYAN	Blood
GTEX-13PL7-0003-SM-5HJRW	Blood
GTEX-13PL7-0003-SM-6WSD3	Blood
GTEX-13PL7-0005-SM-5N9ET	Blood
GTEX-13PL7-0226-SM-731DT	Esophagus
GTEX-13PL7-0326-SM-5IJEK	Esophagus
GTEX-13PL7-0526-SM-5J2MQ	Esophagus
GTEX-13PL7-0626-SM-5IJCD	Muscle
GTEX-13PL7-0726-SM-5KM1S	Heart
GTEX-13PL7-1026-SM-5MR5C	Adrenal Gland
GTEX-13PL7-1126-SM-5MR5O	Spleen
GTEX-13PL7-1226-SM-5SIAR	Adipose Tissue
GTEX-13PL7-1726-SM-5J2NX	Lung
GTEX-13PL7-1826-SM-5IJDV	Blood Vessel
GTEX-13PL7-1926-SM-5J1MM	Nerve
GTEX-13PL7-2026-SM-5IFGK	Uterus
GTEX-13PL7-2126-SM-5L3HZ	Blood Vessel
GTEX-13PL7-2226-SM-5L3IC	Pancreas
GTEX-13PL7-2326-SM-5L3FY	Ovary
GTEX-13PL7-2426-SM-5J2N3	Colon
GTEX-13PL7-2526-SM-5IFGR	Colon
GTEX-13PL7-2626-SM-5IFH4	Small Intestine
GTEX-13PL7-2726-SM-5L3GB	Vagina
GTEX-13PLJ-0003-SM-5CV8G	Blood
GTEX-13PLJ-0003-SM-5HJPK	Blood
GTEX-13PLJ-0003-SM-6WSCN	Blood
GTEX-13PLJ-0005-SM-5NQ99	Blood
GTEX-13PLJ-0011-R11b-SM-5O9BS	Brain
GTEX-13PLJ-0011-R3a-SM-5O9DT	Brain
GTEX-13PLJ-0011-R5a-SM-5O9BG	Brain
GTEX-13PLJ-0011-R9b-SM-5O9DV	Brain
GTEX-13PLJ-0126-SM-5L3HU	Adipose Tissue
GTEX-13PLJ-0326-SM-5L3I7	Muscle
GTEX-13PLJ-0526-SM-5K7VW	Blood Vessel
GTEX-13PLJ-1726-SM-5L3FT	Pituitary
GTEX-13PVQ-0003-SM-5GYCU	Blood
GTEX-13PVQ-0003-SM-7DRPY	Blood
GTEX-13PVQ-0011-R11a-SM-5O9DU	Brain
GTEX-13PVQ-0011-R3b-SM-5O9D6	Brain
GTEX-13PVQ-0011-R4a-SM-5O9CT	Brain
GTEX-13PVQ-0011-R5b-SM-5O9DI	Brain
GTEX-13PVQ-0011-R7a-SM-5L3G3	Brain
GTEX-13PVQ-0011-R9b-SM-5LU3B	Brain
GTEX-13PVQ-0126-SM-5SIB4	Skin
GTEX-13PVQ-0226-SM-5SIBG	Adipose Tissue
GTEX-13PVQ-0326-SM-5K7YF	Muscle
GTEX-13PVQ-0426-SM-5J1OG	Nerve
GTEX-13PVQ-0526-SM-5LU8Q	Blood Vessel
GTEX-13PVQ-0626-SM-5LU47	Skin
GTEX-13PVQ-0726-SM-5L3GI	Thyroid
GTEX-13PVQ-0926-SM-5IJFD	Lung
GTEX-13PVQ-1026-SM-5KM3M	Breast
GTEX-13PVQ-1226-SM-5IJDC	Heart
GTEX-13PVQ-1326-SM-5LU4J	Heart
GTEX-13PVQ-1426-SM-5J1O4	Blood Vessel
GTEX-13PVQ-1526-SM-5IFEQ	Liver
GTEX-13PVQ-1726-SM-5IFF3	Esophagus
GTEX-13PVQ-1826-SM-5L3GU	Esophagus
GTEX-13PVQ-1926-SM-5L3GN	Esophagus
GTEX-13PVQ-2126-SM-5L3FW	Stomach
GTEX-13PVQ-2226-SM-5L3G9	Adipose Tissue
GTEX-13PVQ-2726-SM-5L3H7	Colon
GTEX-13PVQ-2926-SM-5L3HJ	Brain
GTEX-13PVQ-3026-SM-5SI93	Brain
GTEX-13PVR-0003-SM-5GYDY	Blood
GTEX-13PVR-0003-SM-7DRNW	Blood
GTEX-13PVR-0126-SM-5S2PY	Liver
GTEX-13PVR-0226-SM-5RQJI	Adrenal Gland
GTEX-13PVR-0326-SM-5RQJY	Spleen
GTEX-13PVR-0426-SM-5RQK2	Skin
GTEX-13PVR-0526-SM-5S2OB	Adipose Tissue
GTEX-13PVR-0626-SM-5S2RC	Thyroid
GTEX-13PVR-0726-SM-5S2PX	Pancreas
GTEX-13PVR-0826-SM-5S2PV	Blood Vessel
GTEX-13PVR-0926-SM-5S2RB	Heart
GTEX-13PVR-1026-SM-5QGQW	Heart
GTEX-13PVR-1126-SM-5S2NX	Blood Vessel
GTEX-13PVR-1226-SM-5RQJ2	Ovary
GTEX-13PVR-1426-SM-5S2PW	Vagina
GTEX-13PVR-1626-SM-73KVF	Colon
GTEX-13PVR-1726-SM-5Q5EC	Colon
GTEX-13PVR-1826-SM-5Q5CC	Esophagus
GTEX-13PVR-2026-SM-73KXT	Esophagus
GTEX-13PVR-2126-SM-73KVR	Stomach
GTEX-13PVR-2226-SM-7DHKP	Breast
GTEX-13PVR-2326-SM-5QGR1	Skin
GTEX-13PVR-2426-SM-5RQHN	Adipose Tissue
GTEX-13PVR-2526-SM-5RQIT	Muscle
GTEX-13PVR-2626-SM-7DHKQ	Nerve
GTEX-13PVR-2726-SM-5SI6H	Blood Vessel
GTEX-13QBU-0003-SM-5DU3V	Blood
GTEX-13QBU-0003-SM-5HJRN_1	Blood
GTEX-13QBU-0003-SM-6WSD1	Blood
GTEX-13QBU-0126-SM-5LU3V	Blood Vessel
GTEX-13QBU-0226-SM-5LU48	Heart
GTEX-13QBU-0326-SM-5LU3F	Blood Vessel
GTEX-13QBU-0426-SM-5J2O4	Heart
GTEX-13QBU-0526-SM-5IJFE	Adrenal Gland
GTEX-13QBU-0626-SM-5J2OG	Thyroid
GTEX-13QBU-0726-SM-5J2OA	Lung
GTEX-13QBU-0826-SM-5IJBU	Esophagus
GTEX-13QBU-0926-SM-5K7WQ	Esophagus
GTEX-13QBU-1026-SM-5LU3R	Esophagus
GTEX-13QBU-1126-SM-5LU44	Stomach
GTEX-13QBU-1226-SM-5LU4G	Skin
GTEX-13QBU-1326-SM-5LU4K	Adipose Tissue
GTEX-13QBU-1526-SM-5LU3W	Ovary
GTEX-13QBU-1626-SM-5LU4S	Uterus
GTEX-13QBU-1726-SM-5IJFQ	Vagina
GTEX-13QBU-1826-SM-5IJG3	Colon
GTEX-13QBU-1926-SM-5IJEW	Small Intestine
GTEX-13QBU-2026-SM-5KLZB	Colon
GTEX-13QBU-2126-SM-5KLZN	Salivary Gland
GTEX-13QBU-2226-SM-5K7WI	Blood Vessel
GTEX-13QBU-2326-SM-5LU49	Nerve
GTEX-13QBU-2426-SM-5LU4L	Muscle
GTEX-13QBU-2526-SM-5LU4X	Adipose Tissue
GTEX-13QIC-0004-SM-5DU5F	Blood
GTEX-13QIC-0004-SM-5HJR4	Blood
GTEX-13QIC-0004-SM-6WSCY	Blood
GTEX-13QIC-0011-R10a-SM-5O9C7	Brain
GTEX-13QIC-0011-R11b-SM-5O9BU	Brain
GTEX-13QIC-0011-R1a-SM-5O9CJ	Brain
GTEX-13QIC-0011-R3a-SM-5P9HT	Brain
GTEX-13QIC-0011-R4a-SM-5PNX8	Brain
GTEX-13QIC-0011-R8b-SM-5O9CV	Brain
GTEX-13QIC-1226-SM-5K7YR	Muscle
GTEX-13QIC-1426-SM-5LU4V	Nerve
GTEX-13QIC-1526-SM-5IJFL	Ovary
GTEX-13QIC-1626-SM-5K7TZ	Blood Vessel
GTEX-13QIC-1826-SM-5J1MY	Vagina
GTEX-13QIC-2026-SM-5N9G9	Esophagus
GTEX-13QIC-2326-SM-5LU5N	Breast
GTEX-13QIC-2926-SM-5J2NF	Brain
GTEX-13QIC-3026-SM-5LU58	Brain
GTEX-13QJ3-0002-SM-5DU5T	Blood
GTEX-13QJ3-0002-SM-5HJRS_1	Blood
GTEX-13QJ3-0002-SM-6WSD6	Blood
GTEX-13QJ3-0226-SM-5S2PU	Testis
GTEX-13QJ3-0326-SM-5S2RA	Skin
GTEX-13QJ3-0426-SM-5RQHP	Adipose Tissue
GTEX-13QJ3-0526-SM-5QGQY	Nerve
GTEX-13QJ3-0626-SM-5SI6G	Blood Vessel
GTEX-13QJ3-0726-SM-5SI68	Muscle
GTEX-13QJ3-0826-SM-7DHKK	Breast
GTEX-13QJ3-0926-SM-73KX5	Thyroid
GTEX-13QJ3-1026-SM-5QGQU	Lung
GTEX-13QJ3-1726-SM-5RQK9	Esophagus
GTEX-13QJ3-1826-SM-5S2PT	Esophagus
GTEX-13QJ3-1926-SM-5QGQM	Esophagus
GTEX-13QJ3-2726-SM-5SI6L	Stomach
GTEX-13QJC-0003-SM-5GYCG	Blood
GTEX-13QJC-0003-SM-5HJQ8	Blood
GTEX-13QJC-0003-SM-6WSAQ	Blood
GTEX-13QJC-0011-R10a-SM-5SI63	Brain
GTEX-13QJC-0011-R1b-SM-5S2UU	Brain
GTEX-13QJC-0011-R2b-SM-5PNUN	Brain
GTEX-13QJC-0011-R6a-SM-5S2VI	Brain
GTEX-13QJC-0011-R7b-SM-5PNUM	Brain
GTEX-13QJC-0011-R8b-SM-5S2U6	Brain
GTEX-13QJC-0011-R9b-SM-5PNX3	Brain
GTEX-13QJC-0126-SM-5ZZWJ	Skin
GTEX-13QJC-0526-SM-5RQKB	Lung
GTEX-13QJC-0626-SM-5S2O9	Blood Vessel
GTEX-13QJC-0726-SM-5RQJK	Liver
GTEX-13QJC-0826-SM-5RQKC	Thyroid
GTEX-13QJC-2326-SM-5Q5CD	Salivary Gland
GTEX-13QJC-2526-SM-7DHKJ	Blood Vessel
GTEX-13QJC-3226-SM-5ZZWI	Brain
GTEX-13QJC-3326-SM-664OS	Pituitary
GTEX-13RTJ-0003-SM-5GY9V	Blood
GTEX-13RTJ-0003-SM-5HJQ6	Blood
GTEX-13RTJ-0003-SM-6WSCV	Blood
GTEX-13RTJ-0011-R10b-SM-5O9CW	Brain
GTEX-13RTJ-0011-R11a-SM-5O9CK	Brain
GTEX-13RTJ-0011-R1a-SM-5O9D9	Brain
GTEX-13RTJ-0011-R2a-SM-5PNW9	Brain
GTEX-13RTJ-0011-R3a-SM-5PNX7	Brain
GTEX-13RTJ-0011-R4b-SM-5PNX1	Brain
GTEX-13RTJ-0011-R5a-SM-5P9HR	Brain
GTEX-13RTJ-0011-R6a-SM-5SI74	Brain
GTEX-13RTJ-0011-R7b-SM-5P9JS	Brain
GTEX-13RTJ-0011-R8b-SM-5O9DL	Brain
GTEX-13RTJ-0011-R9a-SM-5Q5AY	Brain
GTEX-13RTJ-0126-SM-5S2NN	Skin
GTEX-13RTJ-0326-SM-5YYAE	Thyroid
GTEX-13RTJ-0526-SM-62LDP	Heart
GTEX-13RTJ-0626-SM-5S2NB	Blood Vessel
GTEX-13RTJ-0726-SM-5QGQN	Heart
GTEX-13RTJ-1126-SM-5S2UJ	Lung
GTEX-13RTJ-1426-SM-793B3	Esophagus
GTEX-13RTJ-1926-SM-5YYA2	Colon
GTEX-13RTJ-2126-SM-5S2PZ	Prostate
GTEX-13RTJ-2226-SM-5S2Q1	Kidney
GTEX-13RTJ-2426-SM-5S2Q2	Skin
GTEX-13RTJ-2526-SM-5S2Q3	Adipose Tissue
GTEX-13RTJ-2626-SM-7DHKR	Blood Vessel
GTEX-13RTJ-2726-SM-73KVG	Muscle
GTEX-13RTJ-2826-SM-5QGQH	Nerve
GTEX-13RTJ-2926-SM-5Q5DE	Pituitary
GTEX-13RTJ-3126-SM-5S2Q4	Brain
GTEX-13RTK-0003-SM-5DU57	Blood
GTEX-13RTK-0003-SM-5HJRF	Blood
GTEX-13RTK-0003-SM-6WSCZ	Blood
GTEX-13RTK-0126-SM-5RQHQ	Blood Vessel
GTEX-13RTK-0226-SM-5RQHR	Stomach
GTEX-13RTK-0326-SM-5RQHS	Thyroid
GTEX-13RTK-0426-SM-5RQHT	Esophagus
GTEX-13RTK-0526-SM-5S2QF	Esophagus
GTEX-13RTK-0626-SM-5Q5EK	Esophagus
GTEX-13RTK-0726-SM-5Q5EN	Adipose Tissue
GTEX-13RTK-0826-SM-5Q5C6	Small Intestine
GTEX-13RTK-1426-SM-5QGQJ	Skin
GTEX-13RTK-1626-SM-5QGQS	Muscle
GTEX-13RTK-1826-SM-5S2P3	Blood Vessel
GTEX-13RTL-0011-R1a-SM-5PNZ8	Brain
GTEX-13RTL-0011-R3a-SM-5P9JP	Brain
GTEX-13RTL-0011-R9a-SM-5Q5BR	Brain
GTEX-13RTL-0126-SM-7LG5S	Skin
GTEX-13RTL-0326-SM-7LT89	Muscle
GTEX-13RTL-0426-SM-7LG66	Blood Vessel
GTEX-13S7M-0003-SM-5DU58	Blood
GTEX-13S7M-0003-SM-5HJRR	Blood
GTEX-13S7M-0003-SM-6WSAH	Blood
GTEX-13S7M-0005-SM-5NQ76	Blood
GTEX-13S7M-0011-R10b-SM-5PNZB	Brain
GTEX-13S7M-0011-R11b-SM-5P9HU	Brain
GTEX-13S7M-0011-R1b-SM-5PNZE	Brain
GTEX-13S7M-0011-R3a-SM-5PNX2	Brain
GTEX-13S7M-0011-R5b-SM-5P9HS	Brain
GTEX-13S7M-0011-R6b-SM-5O9D8	Brain
GTEX-13S7M-0011-R7a-SM-5O9DK	Brain
GTEX-13S7M-0011-R9a-SM-5O9DW	Brain
GTEX-13S7M-0126-SM-5SI6A	Skin
GTEX-13S7M-0226-SM-5S2UG	Adipose Tissue
GTEX-13S7M-0326-SM-5S2PH	Muscle
GTEX-13S7M-0426-SM-5S2US	Nerve
GTEX-13S7M-0826-SM-5QGQX	Adipose Tissue
GTEX-13S7M-1726-SM-5RQK3	Uterus
GTEX-13S7M-1826-SM-5RQK6	Stomach
GTEX-13S7M-2126-SM-5S2QR	Lung
GTEX-13S7M-2226-SM-5S2WB	Blood Vessel
GTEX-13S7M-3026-SM-5S2QQ	Brain
GTEX-13S7M-3126-SM-5RQJQ	Brain
GTEX-13S86-0003-SM-5DU4X	Blood
GTEX-13S86-0003-SM-5HJPD	Blood
GTEX-13S86-0003-SM-6WSCT	Blood
GTEX-13S86-0005-SM-5NQ7I	Blood
GTEX-13S86-0126-SM-5S2PI	Spleen
GTEX-13S86-0226-SM-5S2PJ	Heart
GTEX-13S86-0326-SM-5SI6K	Heart
GTEX-13S86-0526-SM-5QGPZ	Blood Vessel
